[11:12:03.559 INF] [T:1] [Game] Logger setup was successful: Game
[11:12:03.698 DBG] [T:1] [Game] [Engine] Discovered '12' commands: [19999, 10007, 10006, 10000, 10008, 10010, 10009, 10001, 10004, 10005, 10003, 10002]
[11:12:03.701 INF] [T:1] [Game] The server Game is initialized.
[11:12:03.706 INF] [T:7] [PerfMonitor] Time:2026-04-05 02:12:03.703Z CPU=0.5% WS=60.52MB Managed=853.91KB Threads=17
[11:12:09.410 INF] [T:1] [Game] Listener (0.0.0.0:10001:"Tcp") was started.
[11:12:09.413 INF] [T:1] [Game] The server instance Game was been started!
[11:12:09.414 INF] [T:1] [Game] Group=Dev, Name=Game, Env="Local", Region=Local, Public=121.135.249.98, Private=192.168.0.191, DnsName=
[11:12:11.032 DBG] [T:11] [Game] A new session connected. sessionId=3c4d14f3-299a-4379-ae08-2f390e4be94c, remoteEndPoint=127.0.0.1:58590
[11:12:11.099 DBG] [T:44] [Game] Session authentication succeeded. sessionId=3c4d14f3-299a-4379-ae08-2f390e4be94c, peerId=1
[11:12:11.115 DBG] [T:45] [Game] Avg: 0, Jitter: 0, LossRate: 0
[11:12:13.465 DBG] [T:45] [Game] [Ack] MaintainAckStatus sent: 1
[11:12:13.693 DBG] [T:44] [Game] Bind peer: uid=1000001, peerId=1
[11:12:13.763 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 1
[11:12:21.164 DBG] [T:45] [Game] Avg: 28, Jitter: 182, LossRate: 0
[11:12:31.214 DBG] [T:45] [Game] Avg: 15, Jitter: 93, LossRate: 0
[11:12:41.215 DBG] [T:45] [Game] Avg: 8, Jitter: 48, LossRate: 0
[11:12:51.258 DBG] [T:45] [Game] Avg: 5, Jitter: 28, LossRate: 0
[11:12:58.319 DBG] [T:57] [Game] [Ack] Remote acknowledged up to: 1
[11:12:58.333 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 1
[11:12:58.348 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 1
[11:12:58.365 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 4
[11:12:58.381 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 4
[11:12:58.396 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 4
[11:12:58.413 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 7
[11:12:58.428 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 7
[11:12:58.445 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 7
[11:12:58.461 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 7
[11:12:58.477 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 11
[11:12:58.493 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 11
[11:12:58.509 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 11
[11:12:58.525 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 14
[11:12:58.540 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 14
[11:12:58.556 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 14
[11:12:58.572 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 14
[11:12:58.588 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 18
[11:12:58.605 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 18
[11:12:58.621 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 18
[11:12:58.636 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 21
[11:12:58.651 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 21
[11:12:58.668 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 21
[11:12:58.684 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 24
[11:12:58.700 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 24
[11:12:58.717 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 24
[11:12:58.732 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 24
[11:12:58.749 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 28
[11:12:58.764 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 28
[11:12:58.780 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 28
[11:12:58.796 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 31
[11:12:58.812 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 31
[11:12:58.828 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 31
[11:12:58.844 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 32
[11:12:58.860 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 34
[11:12:58.876 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 34
[11:12:58.892 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 34
[11:12:58.908 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 38
[11:12:58.924 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 38
[11:12:58.941 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 38
[11:12:58.957 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 41
[11:12:58.973 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 41
[11:12:58.988 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 41
[11:12:59.005 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 41
[11:12:59.020 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 45
[11:12:59.036 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 45
[11:12:59.052 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 45
[11:12:59.068 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 48
[11:12:59.084 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 48
[11:12:59.099 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 48
[11:12:59.116 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 51
[11:12:59.132 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 51
[11:12:59.149 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 51
[11:12:59.165 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 51
[11:12:59.181 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 54
[11:12:59.196 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 54
[11:12:59.212 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 54
[11:12:59.228 DBG] [T:11] [Game] [Ack] Remote acknowledged up to: 58
[11:12:59.244 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 58
[11:12:59.260 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 58
[11:12:59.276 DBG] [T:58] [Game] [Ack] Remote acknowledged up to: 61
[11:12:59.292 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 61
[11:12:59.309 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 61
[11:12:59.324 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 62
[11:12:59.340 DBG] [T:8] [Game] [Ack] Remote acknowledged up to: 64
[11:12:59.356 DBG] [T:10] [Game] [Ack] Remote acknowledged up to: 64
